title,year,director,screenwriter,actors,type,summary,runtime,pubtime,country,language,scoreNum,score,star5,star4,star3,star2,star1,smallCommentNum,longCommentNum,posterurl
梦中小径 Der traumhafte Weg,2016.0,安格拉·夏娜莱克,安格拉·夏娜莱克,Paula Knüpling/Cornelius Schwalm/Miriam Jakob/Thorbjörn Bjornsson/玛伦·艾格特/Phil Hayes,剧情,兩對情侶，一前一後在兩個時空黯然分手。年輕戀人在希臘旅遊，男的要回英國探望意外昏迷的母親，女的要返德國繼續進修。鏡頭一轉已是30 年後，另一對中年夫婦，演員妻子與人類學家丈夫感情流逝，協議離婚。時空切換不着痕跡，人生卻已轉了幾回。此時那對年輕戀人久別重遇，相對已無言。布烈遜的簡約主義如影隨形，幾個手腳特寫已令人物活靈活現。同一時空，四人軌跡重疊，是夢境的虛幻，抑或現實的迷離？看此片如一趟靜觀冥想，感受生的孤寂與愛的無常。,86分钟,2016-08-09(洛迦诺电影节)/2017-04-27(德国)," 德国"," 德语 / 英语 / 希腊语",174.0,6.2,11.6%,18.1%,43.5%,20.3%,6.5%,71,2.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2375644875.jpg
忘年之恋 Looping,2016.0,莱奥妮·克里彭多夫,莱奥妮·克里彭多夫,杰拉·哈斯/Lana Cooper,剧情,19岁的敏感问题女孩莱拉经历了漫长的一夜，次日在医院醒来后发现自己被强暴。在命运的牵引下，莱拉自愿来到精神病院进行治疗，并在此她遇到了52岁的安和35岁的弗兰雅。神秘的前者终生反对固定的伴侣关系，害羞的后者已婚且抚养着自己的小女儿。尽管彼此差异悬殊，共处一室的三个女人却对彼此产生了情感的羁绊，莱雅也感到自己获得了认可...... (豆瓣电影字幕翻译2.0小组),106分钟,2016-01-20(马克斯·奥夫尔斯电影节)," 德国"," 德语",161.0,6.2,8.8%,16.8%,51.2%,20.0%,3.2%,48,1.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2400042815.jpg
油腻凶手 The Greasy Strangler,2016.0,吉姆·霍斯金,吉姆·霍斯金/Toby Harvard,迈克尔·圣迈克尔斯/Sky Elobar/Elizabeth De Razzo,喜剧/恐怖,When a father-and-son relationship gets stuck， just apply a liberal dose of grease. Literally. But what if your dad is a brutal murderer nicknamed the Greasy Strangler? And what if he also tries to interfere with your new girlfriend? And what if he has a gigantic penis? Remember， in an absurd comedy full of psychopaths， never skimp on the lube.,93分钟,2016-10-07(美国)," 美国"," 英语",137.0,6.2,11.4%,22.9%,36.2%,21.9%,7.6%,62,3.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2389934948.jpg
剪刀手史努克 Schnick Schnack Schnuck,2016.0,Maike Brochhaus,Maike Brochhaus/Sören Störung,Felix Anderson/Jana Sue Zuckerberg/Elia Legere,喜剧/情色,Felix plans to spend the weekend at a music festival in Amsterdam with his buddy Kai. Meanwhile his girlfriend Emmi ought to stay home and grade papers. But commitment is not exactly Kai's strongest suit and then suddenly Emmi's high school friend Magda shows up and shows it all. So of course things get a little out of hand and in the end everybody is naked.,84分钟,2016-03-25(德国)," 德国"," 德语",78.0,6.2,10.2%,16.9%,47.5%,22.0%,3.4%,20,0.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2349414984.jpg
特殊嫌疑犯,2016.0,余庆,余庆,孙雪岩/万希/麻郡宜/周广真/周雪珍,剧情/悬疑/犯罪,一天傍晚，中学语文老师林文在回家路上搭载了班上四名女生，但当晚其中一名女生在荒郊被害遇难。林文被认定为头号嫌疑犯，随即被抓捕，但之后由于证据不足便被释放。然而，整个社会对他的审判才刚刚开始，他的家庭也遭遇着前所未有的危机，而唯一解决问题的办法，就是亲自抓到凶手。,71分钟,2016-10-16(中国大陆)," 中国大陆"," 汉语普通话",900.0,6.1,6.6%,22.4%,44.8%,20.2%,6.0%,287,18.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2392103274.jpg
最后的王 Birkebeinerne,2016.0,尼尔斯·高普,拉文·拉尼斯伽,迈克尔·奥森/安德斯·达尔伯格/乔纳森·奥斯卡·达戈/奥斯门·布瑞德·埃克/艾尔·艾吉森/帕尔·斯维尔·哈根/托尔比约恩·哈尔/本杰明·海尔斯德/克里斯托弗·海维尤/斯蒂格·亨里克·霍夫/尼古拉·雷·卡斯,剧情/动作/冒险,1206年，挪威爆发内战。王国一半的势力想要杀死国王的私生儿子HåKon Håkonsson，有两位勇士保护着这位王子。影片讲述了一个改变了国家历史进程的故事。,99分钟,2016-02-12(挪威)/2016-06-17(美国)," 挪威"," 挪威语",804.0,6.1,5.9%,18.8%,54.9%,17.2%,3.2%,236,5.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2345668787.jpg
两个爱人和一只熊 Two Lovers and a Bear,2016.0,阮金,阮金/路易斯-弗朗索瓦·格雷尼尔,戴恩·德哈恩/塔提阿娜·玛斯拉尼/高登·平森特/约翰·拉尔斯顿/乔尔·加涅/杰夫瑞·R·史密斯/菲尼克斯·威尔逊/阿什·卡瑟伍德/约翰尼·伊萨鲁克/伊冯娜·E·戴维森/约瑟芙·纳科吉,剧情/爱情/冒险,故事发生在北极附近一个前不着村后不着店的小镇，两个年轻人在这里相遇并坠入爱河。,96分钟,2016-05-18(戛纳电影节)/2016-10-07(加拿大)," 加拿大"," 英语",591.0,6.1,7.4%,19.0%,50.2%,19.3%,4.1%,193,4.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2341616299.jpg
佩德罗 Pedro,2016.0,Marco Leão/André Santos,Marco Leão/André Santos,Filipe Abreu/Rita Durão/Marcello Urgeghe/João Villas-Boas,剧情/同性,Pedro gets home at dawn. Before the young boy falls asleep， his lonely mother drags him to the beach.,21分钟,2016-07-15(葡萄牙)," 葡萄牙"," 葡萄牙语",295.0,6.1,4.7%,15.5%,60.5%,16.3%,3.0%,91,0.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2398491029.jpg
虚拟性成瘾 Creative Control,2015.0,Benjamin Dickinson,Benjamin Dickinson/Micah Bloomberg,Benjamin Dickinson/诺拉·泽特纳/艾莉克希娅·拉斯姆森,剧情,未來世界有三寶──性、科技、無可救藥的癮君子。,97分钟,2016-03-11(美国)," 美国"," 英语",262.0,6.1,6.9%,17.5%,51.3%,21.2%,3.2%,78,0.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2315953504.jpg
维多利亚 Victoria,2016.0,茹斯汀·特里叶,茹斯汀·特里叶,维尔日妮·埃菲拉/文森特·拉科斯特/梅尔维尔·珀波/Laurent Poitrenaux/阿图·阿拉里,剧情/喜剧/爱情,Victoria Spick， a criminal lawyer in a total sentimental void， grudgingly accepts to defend Vincent， while she hires Sam as an au pair. The beginning of troubled times for Victoria.,90分钟,2016-05-12(戛纳电影节)/2016-09-14(法国)," 法国"," 法语 / 英语",256.0,6.1,5.3%,19.1%,53.1%,20.1%,2.4%,97,2.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2369944864.jpg
