title,year,director,screenwriter,actors,type,summary,runtime,pubtime,country,language,scoreNum,score,star5,star4,star3,star2,star1,smallCommentNum,longCommentNum,posterurl
心之石 Hjartasteinn,2016.0,古德蒙达尔·阿诺尔·古德蒙松,古德蒙达尔·阿诺尔·古德蒙松,巴尔德尔·埃纳尔松/布勒·辛瑞克松/迪尔娅·瓦尔斯多提/卡特拉·尼亚斯多提/约妮娜·索迪斯·卡尔斯多提/兰·雷格纳斯多提/妮娜·道格·菲利普斯多提/斯温·奥拉维尔·冈纳松/娜娜·克里斯汀·马格努斯多尔/索伦·莫灵/贡纳·永松,剧情/同性,在冰岛的一个偏远渔村，两个情同手足的男孩开始面对成长和觉醒。其中一个男孩爱上一个女孩，而另一个男孩则发现他对最好的小伙伴有着另一层感情。这是一个难忘的夏天，他们将以出人意料的姿态进入成人世界……,129分钟,2016-09-01(威尼斯电影节)/2016-12-28(冰岛)," 冰岛 / 丹麦"," 冰岛语",3944.0,7.7,20.7%,48.4%,27.8%,2.8%,0.3%,1329,32.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2460315676.jpg
恋上哲学家 Lou Andreas-Salomé,2016.0,考度拉·卡布里茨-珀斯特,考度拉·卡布里茨-珀斯特/苏珊娜·赫特尔,妮可·黑斯特斯/凯塔琳娜·洛伦茨/丽芙·丽莎·弗赖斯/海伦娜·皮斯克/马蒂亚斯·李尔/卡塔琳娜·舒特勒/菲利普·豪斯/亚历山大·谢尔/朱利叶斯·费梅尔/梅拉布·尼尼泽/彼得·西蒙尼舍克/佩特拉·莫泽/丹尼尔·施特雷塞尔/马塞尔·亨瑟玛/哈拉尔德·施罗特/玛格达莱娜·克隆施拉格/鲁思·赖内克/卡尔·阿克利特纳,剧情/爱情/传记,俄裔哲学家、心理学家露·安德烈亚斯-莎乐美寡居在纳粹德国，一位年轻学者的到访令她回想起自己的过往，圣彼得堡的求学生涯、青年时期的成就与爱情一一浮现在眼前。本片是哲学家莎乐美的传记电影，用交叉剪辑的方式将她生命中最重要也最富传奇色彩的三个时段呈现出来，连接这些片段的线索则是明信片，角色被放置于静态的景物和人物之间，宛若行在画中。,113分钟,2016-06-11(上海电影节)/2016-06-30(德国)," 德国 / 奥地利 / 意大利 / 瑞士"," 德语 / 意大利语 / 俄语",2161.0,7.6,19.1%,44.6%,32.4%,3.6%,0.4%,751,29.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2354623133.jpg
皮绳上的魂,2016.0,张杨,张杨/扎西达娃,金巴/曲尼次仁/夏诺·扎西敦珠/索郎尼马/益西旦增/更登彭措/益呷,剧情,《皮绳上的魂》改编自中国魔幻现实主义代表作家扎西达娃的两部短篇小说：《西藏，系在皮绳结上的魂》和《去拉萨的路上》，影片讲述一个背负原罪与世仇，死而复生的猎人经活佛点拨，一路降服心魔，最终将圣物天珠护送进入莲花生大师掌纹地的故事。,144分钟,2017-08-18(中国大陆)/2016-06-15(上海电影节)," 中国大陆"," 汉语普通话 / 藏语",6023.0,7.3,12.5%,46.5%,34.4%,5.1%,1.4%,2186,143.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2494811175.jpg
"你好，我叫多蕾丝 Hello, My Name Is Doris",2015.0,迈克尔·肖沃特,劳拉·特鲁索/迈克尔·肖沃特,莎莉·菲尔德/马克思·格林菲尔德/贝丝·比厄/温迪·麦克伦登-考威/斯蒂芬·鲁特/伊莉莎白·里瑟/娜塔莎·雷昂/泰恩·黛莉/彼得·盖勒/库梅尔·南贾尼,剧情/喜剧/爱情,年逾花甲的多蕾丝仍旧有著一颗渴望爱情的少女心，在一场自助会中她遇到了年轻的白马王子！年龄不是问题，多蕾丝决定为了她的真爱展开追爱行动！,95分钟,2016-03-11(美国)," 美国"," 英语",9733.0,7.1,11.2%,38.2%,44.1%,5.6%,0.8%,3079,59.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2286292271.jpg
爱情天文学 La corrispondenza,2016.0,朱塞佩·托纳多雷,朱塞佩·托纳多雷,欧嘉·柯瑞兰寇/杰瑞米·艾恩斯/肖娜·麦克唐纳/安娜·萨瓦/詹姆斯·斯迈利/詹姆斯·布鲁尔/西蒙·米考克/斯图尔特·亚当斯/詹姆斯·沃伦,剧情/爱情,艾美（欧嘉·柯瑞兰寇 Olga Kurylenko 饰）是一名天文学博士生，过往的伤痛经历让她成为了一名兼职替身演员，只有身处于千钧一发的危险境地，艾美内心的痛苦才有可能稍稍淡化。这样一个伤痕累累的女人，遇见了名为艾德（杰瑞米·艾恩斯 Jeremy Irons 饰）的天文学教授，趣味相投的两人相互吸引着，很快便走到了一起打得火热。,116分钟,2016-01-14(意大利)," 意大利"," 英语",7241.0,7.1,16.5%,35.1%,37.2%,9.5%,1.8%,2461,76.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2306448007.jpg
潜伏者 The Infiltrator,2016.0,布拉德·福尔曼,罗伯特·马泽/艾伦·布朗·弗曼,布莱恩·科兰斯顿/黛安·克鲁格/本杰明·布拉特/埃伦娜·安纳亚/鲁本·奥查迪亚诺/马克·霍尔登/米切尔·马伦/宾利·卡鲁,剧情/传记/犯罪,鲍勃·梅瑟是一名海关工作人员，经常从事卧底工作以便抓捕贩毒人员。他虽然有资格以全额福利退休，但为了破获犯罪集团洗钱案不惜以身犯险。他和同事埃米尔·阿夫雷乌更名改姓，乔装成可以提供洗钱服务的富有商人，并通过线人的介绍，结识了一些需要该项服务的商业人士。经过一层层的牵线搭桥，他结识了犯罪集团的合伙人之一罗伯托·爱尔卡诺，并成功取得他的信任。鲍勃·梅瑟施计在自己的“婚礼”上一举抓捕包括罗伯托·爱尔卡诺在内的所有洗钱案涉事人，成功侦破美国史上最严重的一宗洗钱案内幕。,127分钟,2016-07-15(美国)," 英国"," 英语",8878.0,7.0,9.2%,37.5%,47.5%,4.9%,0.9%,2169,25.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2337024492.jpg
植物图鉴 植物図鑑 運命の恋ひろいました,2016.0,三木康一郎,渡边千穗/有川浩,岩田刚典/高畑充希/阿部丈二/今井华/矢泽恵里香/相岛一之/酒井敏也/木下隆行/邓肯/大和田伸也/宫崎美子,爱情,女孩要「花」也要「男孩」，甜爱浓度闪光120%!!,112分钟,2016-06-04(日本)," 日本"," 日语",4898.0,6.4,9.7%,23.0%,47.5%,16.1%,3.8%,1846,29.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2321836780.jpg
仁川登陆作战 인천상륙작전,2016.0,李宰汉,李满熙,李政宰/李凡秀/连姆·尼森/郑俊镐/金秉玉/秋山成勋/陈世妍/强·格瑞斯/金宣儿/朴圣雄/朴哲民/金英爱,剧情/战争,此前曾有韩国媒体报道，著名导演姜帝圭将执导韩国新片《麦克阿瑟》。然而制作公司于日前也澄清表示，该报道并不符实。《麦克阿瑟》导演将由《向着炮火》导演李载汉担任。目前《麦克阿瑟》正在进行剧本修改阶段，会在剧本完成之后展开选角工作。,110分钟,2016-07-27(韩国)," 韩国"," 韩语 / 英语",7254.0,5.4,5.7%,12.2%,42.6%,27.6%,11.9%,2223,53.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2353122858.jpg
一吻定情电影版1：高中篇 イタズラなKiss THE MOVIE Part1 ハイスクール編,2016.0,沟口稔,溝口稔,佐藤宽太/美沙玲奈/阵内孝则/石冢英彦/石田光/大仓士门/山口乃乃华,爱情,其实准确的影片名字应该就是恶作剧之吻，从1990年《别册玛格丽特》中连载的少女漫画。而我们也看过了台湾版的林依晨和郑元畅的版本，非常的青春，而这部日本的电影版依然是主角湘琴和直树之间的故事。原作是多田的突然去世，未完成的那样1999年3月号连载结束了，1996年柏原崇，佐藤篮子出演的电视剧版播放后，台湾，即使在韩国电视剧化。2013年新的未来穂香和古川雄輝的双主演的连续电视剧《恶作剧之吻～Love in TOKYO》播放的，而所有通用的题材其实每个版本都是有特点和不同的味道的.,,2016-11-26(日本)," 日本"," 日语",1713.0,4.7,5.2%,7.8%,27.3%,35.2%,24.5%,588,3.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2400499564.jpg
蜜月酒店杀人事件,2016.0,张哲洙,李光浩/汪海林/邵鲁燕,张静初/何润东/金永敏/倪虹洁/吴维彬/文祥,剧情/悬疑,朴实勤劳的吴大志（金英民 饰）是豪华大酒店的一名门童，这天是他和心爱的妻子结婚的日子。吴大志用婚假向经理换取了总统套房两天的使用权，以满足妻子的新婚愿望：在总统套过一个短暂但甜蜜温馨的蜜月。,97分钟,2016-05-27(中国大陆)," 中国大陆 / 韩国"," 汉语普通话",2371.0,3.4,1.9%,2.8%,13.8%,28.9%,52.7%,667,15.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2346589849.jpg
机动战士高达 THE ORIGIN III 破晓的起义 機動戦士ガンダム THE ORIGIN III 暁の蜂起,2016.0,安彦良和/今西隆志,隅泽克之/矢立肇/富野由悠季/安彦良和,池田秀一/潘惠美/柿原彻也/前野智昭/三宅健太/浦山迅/银河万丈/渡边明乃/茅野爱衣/坂东尚树/宗矢树赖/山野井仁/小松史法/星野充昭/松田健一郎/杉村宪司/高阶俊嗣/大畑伸太郎/阪口周平/林大地/滨田洋平/鸟丸祐一/铃木晴久/木岛隆一/山本祥太/村中知/森奈奈子/森优子/津田英三/喜山茂雄/土屋利秀/卷岛康一/秋元千贺子/落合弘治/坂口候一/新井里美/关俊彦/田中真弓/古谷彻/大塚明夫,科幻/动画,宇宙世纪0068年，居住在SIDE3的慕佐自治共和国议长发表完《完全独立宣言》后意外身亡，由此引发了连番的动乱，许多人的命运也就此发生根本转变。转眼来到宇宙世纪0074年，爱德华·玛斯（池田秀一 配音）以夏亚·阿兹纳布的身份进入吉恩自治共和国国防军官学校学习。在那里，他与来自SIDE3的名门子弟格尔玛（柿原彻也 饰）互相赏识，成为模拟好友。,68分钟,2016-05-21(日本)," 日本"," 日语",2828.0,9.2,67.7%,26.9%,4.5%,0.5%,0.4%,465,0.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2325456546.jpg
无头骑士异闻录第二季：结 OVA デュラララ!!×2 結 第19.5話 デュフフフ!!,2016.0,大森贵弘,村井贞之,泽城美雪/神谷浩史/小野大辅/福山润/中村悠一/梶裕贵/高垣彩阳/寺岛拓笃/岸尾大辅/小林沙苗/市道真央/小西克幸/黑田崇矢/小野坂昌也/津田健次郎,动画,人気アニメ第2期「デュラララ!!×2」の番外編OVA第3弾。成田良悟による原作ライトノベル10周年を記念して出版された「デュラララ!! 外伝!?」所収の短編エピソード「デュフフフ!!」を映像化した。池袋最凶の男・平和島静雄のニセモノで、沼袋のチンピラ・野襖志津夫が池袋にやってきたことから起こる波乱を描く。新キャラクターとなる野襖志津夫役の声優は、「遊☆戯☆王 デュエルモンスターズ」などで知られる津田健次郎。劇場上映時には、「デュフフフ!!」本編に加えて、OVA第1弾「私の心は鍋模様」と第2弾「お惚気チャカポコ」も同時上映する。,24分钟,2016-05-21(日本)," 日本"," 日语",1336.0,9.1,63.6%,29.1%,6.1%,1.0%,0.3%,202,0.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2326159160.jpg
民王番外篇：恋爱总选举 民王スピンオフ～恋する総裁選～,2016.0,山本大辅,西荻弓绘,高桥一生/相武纱季/升毅/山路和弘/川冈大次郎/远藤宪一,剧情/喜剧/爱情,尽心辅佐武藤泰山（远藤宪一 饰）登上政坛顶点的首席秘书贝原茂平（高桥一生 饰），当年也有一段刻骨铭心的经历。五年前，内阁总理大臣突然辞职，以国土交通大臣乡田刚（升毅 饰）为代表的数名政客围绕首相宝座展开激烈竞争。贝原时任乡田的秘书，他的父亲曾经也效力乡田麾下，甚至不惜替主人背上罪名死去。在竞选过程中，乡田团队加入了一名美女雪野诗音（相武纱季 饰），对方居然正是贝原学生时代曾深深喜欢的学姐。随着竞选的白热化，针对乡田的攻击日趋激烈，雪野展现出迥异于过去的一面，而乡田也变得越来越让贝原感到陌生和心寒。,47分钟,2016-04-22(日本)," 日本"," 日语",5992.0,8.1,28.1%,49.1%,21.4%,1.1%,0.3%,1393,3.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2391272985.jpg
最忆是杭州,2016.0,张艺谋,廖昌永/赵聪,廖昌永/赵聪,歌舞,,57分钟,2016-09-04(中国大陆)," 中国大陆"," 汉语普通话",1678.0,8.1,36.6%,42.6%,15.0%,2.9%,3.0%,443,5.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2529607824.jpg
为什么猫都叫不来 猫なんかよんでもこない。,2016.0,山本透,林民夫/山本透,风间俊介/鹤野刚士/松冈茉优,剧情,《为什么猫都叫不来》是以杉作代表作《酷猫小黑的生活日记（原名：クロ號）」》中登场的两只猫为原型创作的绘本漫画。喜欢狗的主人公因为哥哥突然捡回来两只野猫而开始与猫一起生活。风间俊介出演曾经当过拳击手的主人公光雄，鹤野刚士出演靠画漫画为生的哥哥，松冈茉优出演女主角小梅。,103分钟,2016-01-30(日本)," 日本"," 日语",11507.0,7.5,18.2%,43.0%,34.5%,3.8%,0.5%,3547,26.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2267508677.jpg
帅气的恶魔 Handsome Devil,2016.0,约翰·巴特勒,约翰·巴特勒,费昂·奥谢/尼古拉斯·加利齐纳/安德鲁·斯科特/莫·邓福德/迈克尔·麦克埃尔哈顿/卢瑞·奥康纳/马克·拉弗里/杰·达菲/杰米·哈拉汉/艾米·胡伯曼/阿道·欧汉隆/诺玛·谢汗/斯蒂芬·霍根/劳特里奥·萨帕尔利/休·奥康纳/马克·达赫蒂,剧情/同性/运动,Ned和Conor被迫住进了寄宿学校的同一间宿舍，一个是在橄榄球疯狂的学校里被欺负的文艺少年，一个是新到而被寄于厚望的球星队员，他们俩却悄悄地发展出一段深厚的友谊，直到引起了其他人的质疑。,95分钟,2016-09-11(多伦多电影节)/2017-04-21(爱尔兰)," 爱尔兰"," 英语",3960.0,7.3,14.6%,40.8%,37.9%,5.9%,0.7%,1320,13.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455528673.jpg
冰河世纪：巨蛋恶作剧 Ice Age: The Great Egg-Scapade,2016.0,Ricardo Curtis,Jim Hecht,Ray Romano/John Leguizamo/丹尼斯·利瑞/塔拉吉·P·汉森/奎恩·拉提法,动画,复活节电视特辑，前半部分是曼尼，迪亚哥和希德找蛋蛋的故事，后半部分是冰河世纪的彩蛋大合集。,73分钟,2016-03-20(美国)," 美国"," 英语",3037.0,7.2,15.9%,35.6%,42.2%,5.4%,0.9%,571,2.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2525043311.jpg
独家新闻 SCOOP！,2016.0,大根仁,大根仁/原田真人,福山雅治/二阶堂富美/吉田羊/泷藤贤一/中川雅也/斋藤工,剧情,影片是根据原田真人担当导演编剧的电影《盗写 1250秒》为原作改编，讲述了昔日小报记者都城静（福山雅治饰）目前担当八卦专门杂志的狗仔，在沉迷于酒精赌博中混混度日的他因一件小事和被分配到同部门的新人记者行川野火（二阶堂富美饰）一起成为搭档。二人在捕获到独家新闻之后，引起一场更大事件的发生。,120分钟,2016-10-01(日本)," 日本"," 日语",10636.0,7.0,8.5%,39.3%,46.1%,5.3%,0.7%,3292,52.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2401343730.jpg
民王特别篇：新的阴谋 民王スペシャル～新たなる陰謀～,2016.0,本桥圭太/山本大辅,西荻弓絵,远藤宪一/菅田将晖/本仮屋唯佳/知英/峰村理惠/山内圭哉/门胁麦/大仓孝二/高桥一生/金田明夫/林家正藏/山路和弘,剧情,历经千辛万苦，好不容易和儿子阿翔（菅田将晖 饰）换回身体的日本第一百位首相武藤泰山（远藤宪一 饰），谁知竟在出国访问的途中再度与阿翔交换了灵魂，与此同时国会中许多议员也突然和某幼儿园的孩子交换了身体，场面打乱。这桩意外让秘书贝原（高桥一生 饰）焦虑不已，他们连忙准备小抄让阿翔背熟。出人意料的是，假冒首相居然在外事活动中表现的极为出色。在日本坐镇的泰山喜出望外，只有跟随在首相身边的贝原觉察出其中的异状，那就是有第三个人夺走了泰山的身体。为了查明真相，泰山在特工豪德寺义经（大仓孝二 饰）和中田薰（门胁麦 饰）的协助下追查制造了这一连串混乱的真凶。,48分钟,2016-04-15(日本)," 日本"," 日语",7799.0,6.7,11.0%,26.5%,51.7%,9.8%,1.1%,1763,3.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2326320640.jpg
古都,2016.0,齐藤勇贵,真武泰徳/梶本惠美/齐藤勇贵/川端康成,松雪泰子/桥本爱/成海璃子/苍丽娜/苍安娜/叶山奖之/栗塚旭/迫田孝也/伊原刚志/奥田瑛二,剧情,松雪泰子饰演的双胞胎姐妹在出生后便分隔两地，一位是被京都富商收养成为有地位的小姐的佐田千重子，而妹妹中田苗子则在北山杉中贫苦种地生活，同时影片设定了两人分别有一名女儿。千重子的女儿佐田舞由桥本爱出演，其因是否继承母亲的店而苦恼；而苗子的女儿中田结衣由成海璃子饰演，其为了学习美术前往巴黎留学。某日，佐田舞因展示日本文化而前往法国，由此两组母女的人生相交叉。其中，松雪泰子将一人分饰两角，出演佐田千重子和中田苗子。,117分钟,2016-12-03(日本)," 日本"," 日语",1918.0,6.7,12.5%,29.0%,43.9%,12.4%,2.3%,657,14.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2387316027.jpg
弹丸论破3 -The End of 希望之峰学园- 希望篇 ダンガンロンパ3 -The End of 希望ヶ峰学園- 希望編,2016.0,福岡大生/岸诚二,海法纪光,绪方惠美/斋藤千和/本乡奏多/日笠阳子/高山南/花泽香菜,剧情/动画/悬疑,,24分钟,2016-09-29(日本)," 日本"," 日语",1157.0,6.7,16.4%,24.7%,43.2%,10.9%,4.9%,229,1.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2385215660.jpg
掠夺者 Marauders,2016.0,史蒂芬·C·米勒,迈克尔·科迪/克里斯·赛弗森,布鲁斯·威利斯/克里斯托弗·米洛尼/戴夫·巴蒂斯塔/艾德里安·格尼尔/特夏斯·巴特尔/塔拉·霍尔特,动作/犯罪,一家银行遭遇抢劫，所有的证据都指向银行的老板和其客户，但随着FBI探员的深入调查，他们发现抢劫的背后有着更大的阴谋……,107分钟,2016-12-23(中国大陆)/2016-07-01(美国)," 加拿大 / 美国"," 英语",4843.0,5.4,3.1%,9.9%,47.1%,33.6%,6.3%,1581,74.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2404556021.jpg
虐杀12小时,2016.0,卢哲颢,卢哲颢,赵昕彤/袁福福,悬疑/惊悚,除夕夜商场内大多店都已经关门了，内衣店店主黄馨在忙完一天的工作后准备回家过年，走之前却被一个快递员骚扰，黄馨很生气的呵斥了他。黄馨关上了门准备回家过个好年，可是她却发现商场内所有回家的通道都被锁上，于是她来到保安室想让保安开门，然而这却是她恐怖经历的开始~~,60分钟,2016-02-19(中国大陆)," 中国大陆"," 汉语普通话",289.0,5.0,10.6%,9.0%,28.0%,26.5%,25.9%,97,1.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2320017892.jpg
最萌身高差,2016.0,马侃,吕不二/马小慧,高以翔/王水林/秦晓飞/王棠云/李元元/林育品/范湉湉/九孔/马国毕/邹之遥/简洁/林真亦,喜剧/爱情,摄影系研究生张潇（高以翔 饰）拥有着傲人的196厘米身高，站在人群中总是最为扎眼的那一个。某日，张潇邂逅了名为夏汐泠（王水林 饰）的女孩，虽然生来娇小的夏汐泠身高只有156厘米，但张潇还是一眼就认定，夏汐泠是他一直在寻找的模特，一高一矮的两人站在一起，成为了校园里一道独特的风景线。,91分钟,2016-11-25(中国大陆)," 中国大陆"," 汉语普通话",3736.0,3.9,2.6%,3.9%,21.2%,29.8%,42.4%,1246,39.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2398176331.jpg
机动战士高达 雷霆宙域 DECEMBER SKY 機動戦士ガンダム サンダーボルト DECEMBER SKY,2016.0,松尾衡/吉泽俊一/绵田慎也,松尾衡/太田垣康男/矢立肇/富野由悠季,中村悠一/木村良平/行成桃姬/平川大辅/咲野俊介/土田大/大原沙耶香/佐佐木睦,科幻/动画/战争,,70分钟,2016-06-25," 日本"," 日语",1445.0,8.9,57.1%,32.3%,8.7%,1.4%,0.6%,235,2.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2363626116.jpg
游戏王：次元的黑暗面 遊☆戯☆王 THE DARK SIDE OF DIMENSIONS,2016.0,桑原智,高桥和希,风间俊介/津田健次郎/花泽香菜/日野聪/伊藤真纪/高桥广树/菊池英博/竹内顺子/松本梨香/林遣都/小林剑道/おたけ/太田博久/斉藤慎二,剧情/动画/奇幻/冒险,本作是为了纪念在1996年起开始的《游戏王》系列漫画连载二十周年所推出的动画电影。,130分钟,2016-04-23(日本)," 日本"," 日语",4250.0,8.1,36.7%,36.4%,21.2%,4.4%,1.3%,1318,25.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2391551700.jpg
窒息 A martfüi rém,2016.0,阿帕德·索普塞特,阿帕德·索普塞特,卡洛伊·哈伊久克/加博·贾斯贝埃尼/佐尔特·安格尔/普特·巴拉内/泽索特·斯里/索菲娅·绍莫希/莫妮卡·巴尔赛,惊悚/犯罪,基于真实改编。本片发生在1960年代的匈牙利，以系列残暴凶杀而出名的小镇马特福。真凶被缉拿归案7年后，凶杀再次降临小镇，手法如出一辙，是误判还是效仿？本片中的社会主义国家匈牙利，存在令人窒息的社会、政治和心理博弈，当局者很快发现自己陷入了错综复杂的阴谋和令人不安的戏剧网络中。,121分钟,2016-11-10(匈牙利)," 匈牙利"," 匈牙利语",3656.0,7.2,10.2%,43.3%,42.2%,3.4%,0.9%,1030,13.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2511427888.jpg
我世界的中心 Die Mitte der Welt,2016.0,雅各布·莫里茨·阿尔瓦,雅各布·莫里茨·阿尔瓦/安德烈亚斯·斯坦霍费尔,路易斯·霍夫曼/思文佳·永/雅尼克·许曼/莎宾·蒂莫提欧/阿达·菲莱恩·斯塔彭贝克/英卡·芙德瑞/克莱门斯·雷拜因/托马斯·戈里茨基/本迪克斯·汉森/莎拉·富勒/曼努埃尔·施米茨/妮娜·普罗尔/萨沙·亚历山大·吉尔萨克/米莱娜·塞斯陶·科波夫斯基/肯·布卢特,剧情/爱情/同性,改编自1998年同名青年小说的影片《我世界的中心》于11月10日登陆德国院线。敏感十七岁学生菲利普与最要好的女伴卡特消磨了最后的假日，却在开学伊始被新来的、同样神秘而迷人的尼古拉斯吸引。电影以醒目视觉风格和精彩群体演出展现青春时代的初恋、友谊、家庭秘密和自我探寻的过程，将出柜同性主题极自然地融入其中。（豆瓣电影字幕翻译2.0小组）,115分钟,2016-06-26(慕尼黑电影节)/2016-11-10(德国)," 德国 / 奥地利"," 德语 / 英语",3107.0,7.2,13.6%,39.1%,41.5%,5.2%,0.7%,1020,15.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2378119455.jpg
你自己与你所有 당신 자신과 당신의 것,2016.0,洪常秀,洪常秀,金柱赫/李裕英/金义城/权海骁/刘俊相,剧情/喜剧/爱情,影片讲述了由金柱赫饰演的画家英秀和他的恋人敏贞（李宥英）之间的故事。英秀从别人口中听说敏贞曾和陌生男人一起喝酒，这件事引发了两人之间的争吵。英秀第二天去找敏贞，却发现敏贞、也有可能是和敏贞长得一模一样的女子（也可能是双胞胎，也可能不是）在和许多陌生男人不停约会，而那些男人全部都是她之前曾经交往的男人……,86分钟,2016-09-12(多伦多电影节)/2016-11-10(韩国)," 韩国"," 韩语",4578.0,7.0,12.2%,38.4%,40.5%,6.6%,2.2%,1733,45.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2388881008.jpg
亡命雷区 Mine,2016.0,法比奥·古阿廖内/法比奥·瑞希纳洛,法比奥·古阿廖内/法比奥·瑞希纳洛,艾米·汉莫/安娜贝拉·沃丽丝/汤姆·库伦/朱丽叶特·奥布瑞/杰夫·贝尔/克林特·戴尔/卢卡·佩洛斯/大卫·柯克·特雷勒,剧情/惊悚/战争,影片讲述两名狙击手在阿富汗执行暗杀任务，但结果行动失败，两人于荒漠逃亡，没想到同伴误入地雷区，触雷身亡。到回过神来的时候，自己亦同样踏入雷区。暴露在了荒无人烟的巨漠中，面对缺水缺粮、曝晒、沙尘暴，稍一不慎亦会失去生命。在心理生理都受到严峻的考验，他将会如何做呢？,106分钟,2016-10-06(意大利)/2017-04-07(美国)," 美国 / 西班牙 / 意大利"," 英语 / 阿拉伯语",2955.0,6.0,8.3%,19.4%,44.3%,21.1%,6.9%,856,32.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2431869645.jpg
秘密 秘密 THE TOP SECRET,2016.0,大友启史,清水玲子/高桥泉/大友启史,生田斗真/冈田将生/吉川晃司/松坂桃李/栗山千明/织田梨沙/椎名桔平/大森南朋/中川雅也/平山祐介/木南晴夏/大仓孝二,科幻/悬疑/惊悚,,149分钟,2016-08-06(日本)," 日本"," 日语",6846.0,5.4,3.0%,11.3%,44.5%,33.6%,7.5%,2601,46.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2378238479.jpg
爱情麻辣烫之情定终身,2016.0,肖飞/征长张,花芸/刘奋斗,何润东/秦昊/周一围/张梓琳/田原/黄灿灿/张歆艺/海一天/安以轩/金志文/高捷/刘忻/李思函,爱情,李小央（秦昊 饰）、刘家毅（何润东 饰）和高东华（周一围 饰）是大学时代的死党兼舍友，彼此之间感情十分要好。李小央一直默默喜欢着名为陈心（张梓琳 饰）的漂亮学妹，可是陈心只当李小央是对她关怀备至的大哥哥。,98分钟,2016-03-08(中国大陆)," 中国大陆"," 汉语普通话",3074.0,4.9,5.2%,8.9%,34.3%,28.9%,22.7%,1024,57.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2322210657.jpg
两个小姨子 두처제,2016.0,Park-Joo-yeong (박주영),위지웅/하빈/无정향,위지웅/하빈/无정향,爱情,一个男人在妻子去世后几年照顾他的年轻的姐妹们。这两个姐妹长大了，爱上了他们的姐夫。最小的妹妹暴露了自己在他面前引诱他反正可能。第一个妹妹更女性化，但她也不能不觉得吸引她的姐夫，并考虑与他发生性关系…,70分钟,2016-10-25(韩国)," 韩国"," 韩语",476.0,4.4,9.5%,5.4%,18.5%,27.0%,39.6%,79,2.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2391156973.jpg
为美好的世界献上祝福！OAD この素晴らしい世界に祝福を！ OAD,2016.0,金崎贵臣/吉田俊司/岩本保雄,晓夏目/朱白葵,福岛润/雨宫天/高桥李依/茅野爱衣/堀江由衣/诹访彩花/丰崎爱生,喜剧/动画,单行本第9卷限定版同捆DVD,24分钟,2016-06-24(日本)," 日本"," 日语",1327.0,8.2,36.7%,42.5%,16.6%,3.3%,0.9%,214,1.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2325684249.jpg
