index,title,year,director,screenwriter,actors,type,summary,runtime,pubtime,country,language,scoreNum,score,star5,star4,star3,star2,star1,smallCommentNum,longCommentNum,posterurl
1372,占据 Becoming,2020,奥玛尔·内姆,奥玛尔·内姆,托比·凯贝尔/佩内洛普·米契尔/杰弗里·丹尼尔·菲利普斯/斯蒂芬·里德尔/梅丽莎·博洛纳/贝斯·布罗德里克/杰森·帕特里克/卢·坦普尔/约翰·纽伯格/丹尼尔·索斯沃思/Zander Essex/Gianni Capaldi/Elana Krausz/Jessica Ambuehl/Kate August Lim/Rich Williams/西耶娜·法拉尔/Jimmy Star,剧情/科幻/恐怖,一个年轻女人意识到她的未婚夫被某种实体附身，占据他人身体、谋杀家人然后继续附身到新躯体之上，当“他”想组建属于自己的家庭时，她将面临着几乎不可能的抉择。,98分钟,2020-03-06(美国), 美国, 英语,,,,,,,,14.0,2.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2524722251.jpg
1373,回到过去变成猫,2020,,,,,起点中文网一部新奇视角作品。一个少年变成了一只猫，用一个前所未有的姿态和视角重新窥探世间百态。,,, 中国大陆,,,,,,,,,41.0,5.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2431176325.jpg
1374,镇妖宝塔,2020,马甲/唐亚杰,叶子/刘政,叶子/刘政,奇幻/古装,穷书生江流被捉妖大师钟无敌临危受命，担负起斩妖除魔拯救人间的使命。在斩妖除魔的路上，小蛇妖无言一路跟随江流，无言为了保护江流深受重伤，两人感情急剧升温，最终江流成长为一代捉妖大师，为了拯救深陷困境的无言，牺牲了自己的性命。,84分钟,2020-05-04(中国大陆), 中国大陆, 汉语普通话,,,,,,,,13.0,1.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2602471357.jpg
1375,地平线系列：止痛药上瘾 Horizon: Addicted to Painkillers? Britain’s Opioid Crisis,2020,,,Michael Mosley,,,59分钟,2020-01-16(英国), 英国, 英语,,,,,,,,10.0,0.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2584228294.jpg
1376,铜草花,2018.0,翌翔,汪乐华,赵尔玲/周舟/刘鹏/于岩琴/倪言,剧情,电影《铜草花》主要讲述了抗战期间，日本鬼子掠夺铜陵铜官山铜矿，用铜矿造枪炮侵略中国和亚洲地区，日本人疯狂掠夺矿山资源。铜陵东乡武术传人周智，在新四军的领导下，团结矿上工人，抗击日军，谱写出保家卫国的壮美篇章的故事。该片是首部反映铜陵人民抗日斗争史，也是东乡武术作为全国首批体育非物质文化遗产摄制的首部电影。,93分钟,2020-01-06(中国大陆), 中国大陆, 汉语普通话,,,,,,,,19.0,1.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2579940192.jpg
1377,列夫·朗道：诺拉与儿子 DAU. Nora Son,2020,伊利亚·赫尔扎诺夫斯基/叶卡特琳娜·奥特尔,伊利亚·赫尔扎诺夫斯基,,剧情,孤独的家庭主妇和她的十几岁的儿子，和他们所住的科学研究所的其他人疏远了，他们最终打破了禁忌，而顺从的女仆见证了这一切。,88分钟,, 俄罗斯, 俄语,,,,,,,,4.0,0.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2588199113.jpg
1378,内在美,2020,白宗烈,,,爱情,The Beauty Inside， NEW's big summer release， will also get a Chinese remake. Baik， who directed the original Korean film， will also helm the Chinese-language title.,,, 中国大陆 / 韩国,,,,,,,,,21.0,1.0,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png
1379,奇妙的朋友之萌爱,2020,张全欣,张全欣/赵明畅/林韫晶/姚睿/刘吾驷/江家君,杜海涛/郭艳/高泰宇/姜潮/谢彬彬/林雪/刘心/宁小花/温超/武艺/杨晶,剧情/喜剧,本片是在保留湖南卫视大热节目《奇妙的朋友》“神奇六毛”与动物相处的奇妙经历的基础上，全新演绎的一部围绕全世界唯一的熊猫三胞胎成长及遇险的剧情电影。在与动物的相处中，明星小经纪赵大海收获了与大明星的友情，动物博士李冰的萌爱，更在与企图偷盗国宝的犯罪团伙的斗智斗勇中成为了大英雄。2万只动物、十几位明星的倾情出演，是难得的挑战动物与人真实拍摄的合家欢电影。,90分钟,, 中国大陆, 汉语普通话,,,,,,,,13.0,0.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2374173466.jpg
1380,悲惨世界,2020,杜汶泽,杜汶泽,彭浩翔/郭子健,喜剧,《悲惨世界》讲述某城市因受病毒感染，全城男人死剩彭浩翔和郭子健两人，饥渴的全城女士抢着“强奸”这两位地球男,,2020, 中国香港, 粤语,,,,,,,,8.0,0.0,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png
1381,大凶 The Big Ugly,2020,斯科特·维普,斯科特·维普,朗·普尔曼/马尔科姆·麦克道威尔/伊利斯·莱韦斯克/尼可拉斯·博朗 Nicholas Braun/莱文·兰宾 Leven Rambin/维尼·琼斯/乔丽·卡特/布鲁斯·麦克吉尔/勒诺拉·克里奇洛/马克·史密斯,剧情,Anglo-American relations go bad when London mob bosses invest in a West Virginia oil deal in hopes of laundering dirty money.,,2020-07-24(美国), 美国, 英语,,,,,,,,12.0,0.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2608005067.jpg
1382,杨丞琳删·拾以后线上音乐会,2020,,,杨丞琳,音乐/脱口秀,“删除遗憾，拾起温暖” 3月14日晚上8点，和杨丞琳一起共度白色情人节，#TMElive# 超现场——#杨丞琳删拾以后# 线上音乐会，以特别的方式与大家见面，不见不散。,97分钟,2020-03-14(中国大陆), 中国台湾, 汉语普通话,,,,,,,,16.0,0.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2598407580.jpg
1383,玩游戏的朋友,2020,,,杜海涛/陆思恒/罗亦佳/苏芮琪/剑仙/呆阿拿/短短/狂人/李九/罗奕佳/强东玥/高颖浠/法老/AC雷曦/吴昕,真人秀,《玩游戏的朋友》为娱乐社交游戏综艺。每期节目嘉宾会通过自己的社交圈邀请王者玩家深度参与节目。通过解锁玩家的标签了解王者玩家的故事，并组成两队与王者玩家展开5V5对战，最后进行复盘。,45分钟,2020-03-10(中国大陆), 中国大陆, 汉语普通话,,,,,,,,21.0,1.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2589663023.jpg
1384,如果眼睛能偷走彼此 Kannum Kannum Kollaiyadithaal,2020,Desingh Periyasamy,Desingh Periyasamy,杜奎尔·沙尔曼/Ritu Varma,爱情/惊悚,电影《如果眼睛能偷走彼此》两名狡猾的网络骗子在遇见各自的梦中情人后改过自新，但一个充满欺骗的发现让他们的世界天旋地转,160分钟,2020-02-28(美国), 印度, 泰米尔语 / 泰卢固语,,,,,,,,16.0,1.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2591035050.jpg
