,title,year,director,screenwriter,actors,type,summary,runtime,pubtime,country,language,scoreNum,score,star5,star4,star3,star2,star1,smallCommentNum,longCommentNum,posterurl
745,妖狐苏妲己,2018,张博维 ,简远信,南笙/蒋梓乐/黄永刚/简远信/杜冯羽容/邵传玉/张净桐/洪宗义/闫艺泷/张博维 /沈天/常元佳/高友和/张志伟/薛晓龙/向飞飞/朱长山/肖方阁/王建军/李宽宽,爱情/奇幻,本片撷取著名古典小说《封神演义》中，西伯侯姬昌之子伯邑考为救父亲，无畏献身的故事。,90分钟,2018-11-20(中国大陆), 中国大陆, 汉语普通话,663.0,3.6,3.6%,1.8%,15.5%,27.3%,51.8%,241.0,0.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2539780715.jpg
749,小戏骨：包青天之秦香莲与陈世美,2018,潘礼平/奉万里/胡昀皓/陈功,蔡文杰,祁晟原/刘戴恩/释小松/陈荣达/余亚颖/杨知周/葛奕德/刘紫璇/周冉/开新傲/李俊豪/程子阳/万子晴/陈禹衡/姜巧慧/罗熙怡/蔡嘉诚/魏雨祺/高一杰/戴豪键/汤子豪/喻峰/张伊凡/徐雨旋/李冰城/杨梦瑶/周依萱/吴爽/叶思文/徐佳蕊/林立涵/卢亦豪/黄涵雨/张允钊/高锡华/齐森昊/欧家杜/郑树森/黄敬棋/姜米珈/赵紫彤/林宜婧,剧情/悬疑/儿童/历史/古装,本片根据中国传统民间故事《铡美案》改编。寒门学子陈世美高中状元之后，为求功名利禄抛妻弃子成为驸马。其妻秦香莲千里迢迢进京寻夫，陈世美不仅不予相认，还派人加害其母子三人，使得秦香莲含冤入狱。包拯知道真相后，为秦香莲洗脱冤屈；公主、太后屡次阻拦包拯办案，包拯不为所动，冒着得罪皇亲国戚、掉乌纱帽的危险，毅然将陈世美绳之以法，押上龙头铡。,,2018-05-07(中国大陆), 中国大陆, 汉语普通话,952.0,8.0,27.4%,53.3%,14.8%,2.2%,2.2%,356.0,30.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2521021466.jpg
750,伊莱扎·施莱辛格：八零后 Iliza: Elder Millennial,2018,Steve Paley,Iliza Shlesinger,Iliza Shlesinger,喜剧,Newly engaged comic Iliza Shlesinger dives into undeniable truths about life at age 35， the insanity of the road traveled and what's to come.,72分钟,2018-07-25(美国), 美国, 英语,554.0,7.7,22.3%,42.6%,31.3%,3.3%,0.4%,190.0,1.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528881406.jpg
751,布努埃尔在神龟迷宫中 Buñuel en el laberinto de las tortugas,2018,萨尔瓦多·西莫,萨尔瓦多·西莫/埃利希奥·R·蒙特罗/Fermín Solís,豪尔赫·乌松/Fernando Ramos/Luis Enrique de Tomás/Cyril Corral/Pepa Gracia/Rachel Lascar/Gabriel Latorre/Alex Martos/Philipp Nowicki/Victor Nuñez/Fermín Núñez,剧情/动画/传记/历史,由萨尔瓦多·西姆（SALVADOR SIMÓ）联合编剧并执导的西班牙、法国合拍动画电影《布努埃尔在神龟迷宫中》则获得了特别评委会奖。这部电影捕捉了超现实主义电影大师布努埃尔和他的朋友兼资助人拉蒙的生活片断，他们在着手制作一部令人出乎意料且野心勃勃的关于西班牙拉斯维德地区的纪录片。,80分钟,2018-10-20(Animation Is Film Festival)/2019-04-26(西班牙), 西班牙 / 荷兰 / 德国, 西班牙语 / 法语,884.0,7.6,14.9%,50.7%,32.0%,2.4%,0.0%,322.0,3.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2572875191.jpg
752,约翰·木兰尼：无线电城的俊小伙儿 John Mulaney: Kid Gorgeous at Radio City,2018,,John Mulaney,John Mulaney,喜剧/脱口秀,John Mulaney relays stories from his childhood and Saturday Night Live (1975)， eviscerates the value of college， and laments getting older in this comedy special. Other topics qiwan.cc include the church， his family， Trump and pedophiles abducting kids.,65分钟,2018-05-01(美国), 美国, 英语,708.0,7.6,22.9%,41.4%,31.2%,4.2%,0.3%,227.0,1.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2520859874.jpg
753,一天 Egy nap,2018,索菲娅·泽拉吉,雷卡·曼瓦赫吉/索菲娅·泽拉吉,索菲娅·绍莫希/雷欧·弗戴迪/安布鲁斯·巴赫扎/佐卡·瓦赫伽-布拉史寇/卡洛伊·哈伊久克,剧情,母亲生活中某一天，她陷入了日常生活的无情之中，介于她工作、家庭和孩子之间。,99分钟,2018-05-09(戛纳电影节)/2018-11-08(匈牙利), 匈牙利, 匈牙利语,585.0,7.5,15.1%,49.0%,31.7%,3.4%,0.8%,291.0,5.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2562178136.jpg
754,跑女战国行SP アシガールＳＰ～超時空ラブコメ再び～,2018,伊势田雅也,宫村优子/森本稍子,黑岛结菜/伊藤健太郎/松下优也/友坂理惠/川荣李奈/石黑贤/尾形一成,喜剧/爱情,,,2018-12-24(日本), 日本, 日语,963.0,7.4,22.4%,35.0%,35.6%,6.0%,0.9%,394.0,1.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540935585.jpg
755,尤利 Yuli,2018,伊西亚尔·博利亚因,保罗·拉弗蒂/卡洛斯·阿科斯塔,卡洛斯·阿科斯塔/圣地亚哥·阿尔方索/凯文·马丁内斯/埃德里森·曼努埃尔·奥尔贝拉·努内斯/劳拉·德·拉乌兹/菲德尔·卡斯特罗,剧情/音乐/传记,,115分钟,2018-09-23(圣塞巴斯蒂安电影节)/2018-12-14(西班牙), 西班牙 / 古巴 / 英国 / 德国, 西班牙语 / 英语,661.0,7.4,14.9%,46.6%,34.8%,3.2%,0.6%,207.0,1.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2535122755.jpg
756,李保国,2018,赵琦,曲士飞,林永健/颜丹晨/尤勇/侯天来/吴军/高明/何政军/舒耀瑄/刘芳/李林蔚/戚云鹏/任铭松/李晓强/王匡/孙思瀚/施大生/巍子/许文广/范俊良/周正启/晁振轩,剧情/传记,电影讲述了中国知名林业专家、河北农业大学教授李保国三十五年如一日扎根太行山，用尽一生把科技和富裕带给农民的故事。影片从1996年开始讲起，当时的农村经济和农业知识普遍落后，李保国决心进入河北岗底帮助农民，在农民对他的质疑中，一次次给村民们立着军令状，推广新技术，帮农民搞产业，为农民打品牌，帮着农民进行产业升级，最终感动了农民，使得农民们富裕了起来。同时，作为一名农业老师，李保国得知自己身患重病，他希望自己的学生陆超毕业后能够选择留在太行山传承他的思想和知识，继续扎根太行山帮助农民，而陆超最终被老师的精神所感动，努力成为和老师一样的人，帮更多的百姓脱贫致富。,100分钟,2018-08-08(中国大陆)/2018-07-25(河北省), 中国大陆, 汉语普通话,1506.0,7.3,26.7%,32.8%,27.6%,4.3%,8.6%,552.0,127.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530569123.jpg
757,亡命大画家 Mi obra maestra,2018,加斯顿·杜帕拉特,加斯顿·杜帕拉特,安德列·阿卡托/卢卡斯·阿兰达/劳尔·阿雷瓦洛/艾哈迈迪·阿齐姆/路易斯·布兰多尼/古勒莫·法兰塞拉/安德丽娅·弗里杰里奥,喜剧,《杰出公民》导演加斯顿·杜帕拉特最新力作。阿图罗斯尔瓦，一个圆滑势利的画廊主，对布宜诺斯艾利斯有着将近痴迷的偏爱。伦佐纳维尔，一个乖僻厌世的画家，对时兴艺术不闻不问，声名过后早已被世界遗忘。二人观念个性处处相悖，且随时间流逝矛盾愈发激烈，在这段积灰的友谊即将告终之时一场 车祸让阿图罗不得不回到无依无靠的伦佐身边。回温四十年的漫长过往两个老朋友走到了最终的和解，老画家的悲观绝望驱使阿图罗找到杜杜，一个颇有手腕的国际收藏家，试图向其销售画作，回转局势。尝试失败后，他们想到了一个疯狂极端，注定将撼动艺术界并永远的改变他们一生的主意。,100分钟,2018-08-16(阿根廷)/2018-11-16(西班牙), 阿根廷 / 西班牙, 西班牙语,1276.0,7.3,12.1%,47.0%,37.2%,3.0%,0.7%,424.0,8.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2532485088.jpg
758,山茶花飘零 散り椿,2018,木村大作,小泉尧史,冈田准一/西岛秀俊/黑木华/池松壮亮/绪形直人/柳乐优弥/芳根京子/骏河太郎/渡边大/麻生久美子/石桥莲司/富司纯子/奥田瑛二,剧情/动作,《椿花散落》以江户时代为舞台，冈田准一饰演的主角是道场有名的“四天王”，由于告发了上司的不正当行为而被逐出藩，为完成亡妻遗愿归乡，描绘了武士与藩的不正当行为和权力人物之间的对抗。冈田准一为饰演这一角色已提前3个月开始杀阵的训练。片中西岛秀俊将饰演主人公在道场时期亦敌亦友的情敌。,111分钟,2018-09-28(日本), 日本, 日语,1670.0,7.1,11.2%,42.4%,40.1%,5.0%,1.2%,598.0,7.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528924662.jpg
