'title', 'year', 'director', 'screenwriter', 'actors','type','summary', 'runtime', 'pubtime', 'country', 'language', 'scoreNum', 'score', 'star5', 'star4', 'star3', 'star2', 'star1', 'smallCommentNum', 'longCommentNum', 'posterurl'
鳏夫的探戈和其扭曲的镜像 El tango del viudo y su espejo deformante,2020,劳尔·鲁伊斯/瓦莱丽亚·萨米恩托,劳尔·鲁伊斯/Omar Saavedra Santis/瓦莱丽亚·萨米恩托,Rubén Sotoconil/Claudia Paz/Luis Alarcón/Shenda Román/Luis Vilches/德尔菲娜·古兹曼/Alonso Venegas/塞尔吉奥·埃尔南德斯/Chamila Rodríguez/内斯托尔·坎蒂利亚纳/Gabriela Arancibia/Gabriel Urzúa/Marcela Golzio/Arturo Rosell,剧情,"The story of a man whose wife has committed suicide and appears to him as a ghost, following him everywhere and changing his personality. Unfinished in 1967 and restored for a 2020 premiere.
                        ",64分钟(柏林电影节),2020-02-20(柏林电影节), 智利, 西班牙语,111,6.9,3.4%,50.6%,38.2%,5.6%,2.2%,44,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2583403205.jpg
三浦部长，今日成为女人 三浦部長、本日付けで女性になります。,2020,新田真三,ふじきみつ彦,室毅/铃木纱理奈/伊藤沙莉/三宅弘城/中村中/中村育二/平泉成/松金米子 Yoneko Matsukane,剧情,"食品公司总务部长三浦安雄在公司的迎送会上穿女装，体验到前所未有的解放感。一开始是偷偷地试着女装和化妆的，但是对同一性障碍的前辈椿说“你想穿女装吗？你想作为女性活下去吗？”被问到“想成为女性”的心情高涨。在心理诊所被诊断为“性别不协调”的安雄，下决心向妻子小薰告白，但是混乱的小薰完全否定。被命令扔掉女装道具的安雄，将其运到了附近的行李箱间。有一天，安雄对公司轻视女性的做法感到愤慨，不顾后辈小春的反对，用邮件通知“我是性同一性障碍”。在更衣室里穿女装，开始了“作为女性”的工作生活。但是，被“カオリ”发现了，公司也因为上司的捐款而调动地方工作。安雄到底能不能兼顾“作为女人生活的道路”和“与所爱的家人生活”呢……？！
                        ",73分钟,2020-03-21(日本), 日本, 日语,582,6.6,4.6%,28.1%,59.7%,6.1%,1.5%,240,2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2588971815.jpg
温蒂 Wendy,2020,贝赫·泽特林,贝赫·泽特林/伊丽莎·泽特琳,德万·法兰斯/亚书亚·麦克/盖奇·纳昆/加文·纳昆/艾哈迈德·凯奇/克里斯托夫·梅因/罗米里·罗斯/洛厄尔·兰德斯/凯文·皮尤/雪伊·沃克/斯蒂芬妮·林恩·威尔逊/帕姆·哈珀/克娄巴特拉·金·韦尔奇/艾莉森·坎贝尔/凯瑟琳·奥特/汤米·林·米拉佐/利维·伊斯特利,剧情/奇幻,"“小飞侠彼得·潘”故事再度新编，讲述女孩Wendy迷失在了一个年龄和时间脱节的神秘岛屿，她必须努力斗争，拯救家庭和自由，让自己快乐年轻的灵魂免于“长大”的威胁。
                        ",111分钟,2020-01-26(圣丹斯电影节)/2020-02-28(美国), 美国, 英语,1141,6.5,6.1%,28.8%,52.1%,10.4%,2.7%,429,7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2573546947.jpg
妙先生,2020,李凌霄,三弦,小连杀/宝木中阳,动画/奇幻/冒险,"影片改编自不思凡 (《大护法》)的同名原创短片，由李凌霄执导，彩条屋影业(《哪吒之魔童降世》)出品，讲述一场关于“善恶抉择”的人性考验。
                        ",89分钟,2020-07-31(中国大陆), 中国大陆, 汉语普通话,22991,6.2,6.4%,22.5%,50.5%,17.6%,3.0%,8749,409,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614234255.jpg
釜山行2：半岛 부산행2-반도,2020,延尚昊,延尚昊,姜栋元/李贞贤/权海骁/李来/金敏载/具教焕/金度允/李艺媛,动作/惊悚,"讲述灾难发生的4年后，朝鲜半岛满目疮痍，逃到海外的前士兵Jung-seok奉命回国，意外地遇到了幸存者。
                        ",115分钟,2020-07-15(韩国), 韩国, 韩语,18593,5.6,5.8%,13.6%,43.3%,27.7%,9.6%,7510,184,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2588307420.jpg
野王,2020,侯国涛,梁杰理/吕晨悦/王俐丹,梁杰理/吕晨悦/王俐丹,喜剧/冒险/古装,"讲述一终日与大猩猩为伴的太行山上野人“山魁” ，霸踞山林，人莫详知。偶然救下被仇人追杀误闯山林的小女孩“箜儿”。 一场古代武侠族群间的争霸暗战也就此撕裂。人类野性中的“抵抗”，与山林野兽的“温情”，层叠出跨越血肉的救赎之勇。
                        ",87分钟,2020-01-29(中国大陆), 中国大陆, 汉语普通话,592,5.6,5.3%,14.7%,42.7%,30.7%,6.7%,230,7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2571448144.jpg
人妖阿发 痴人三部曲 1/3 人妖阿發 痴人三部曲 1/3,2020,罗守耀,罗守耀,林上/麦芷谊/Aphirak CHAIYASIT/王貝兒,剧情,"但當他知道救贖根本無望，錯恨亦難返…
                                    ",100分钟,2020-02-24(中国香港), 中国香港, 粤语 / 泰语,365,5.2,5.5%,10.7%,32.5%,38.4%,12.8%,125,5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2585759340.jpg
古剑奇谭之伏魔纪,2019,何佳男,蔡冰杰/金成,赵天宇/徐鹤尼/关畅/小爱Arielle,古装,"影片围绕着一把上古魔剑“焚寂剑”展开，主要讲述了热血青年项小天与青云派弟子上官灵羽结伴护送魔剑的过程中相知相识，并逐渐走到一起的故事。
                        ",89分钟,2020-01-28(中国大陆), 中国大陆, 汉语普通话,359,4.8,1.7%,8.5%,35.6%,35.6%,18.6%,131,5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2581590053.jpg
神宠鲁弗斯大冒险 Adventures of Rufus: The Fantastic Pet,2020,Ryan Bellgardt,Chris Hoyt/Jerome Reygner-Kalfon,Leah N.H. Philpott/Kyler Charles Beck/Erin Herring/Ryan Bellgardt/Cory Phillips/Evan Assante/Madilyn Kellam/Madelyn Kientz/Mattie Walker/Lisandro Boccacci/Christy Tate/Rayna Rodriguez,家庭/冒险,"朋友斯科特和艾米莉，在斯科特的祖母的家，当他们突然发现一个神秘的生物鲁弗斯和巫师阿博特在一个秘密房间。他们有一个使命：在一本古老的咒语书的帮助下，他们将收集一些成分，使一个神奇的尘埃，以拯救他们的世界，一个神奇的世界。然而，他们遇到了几个障碍，当三个神秘的权力仆人想把手放在书上，他们认为这本书有咒语，把一切都变成黄金
                        ",83分钟,2020-05-26(美国), 美国, 英语,110,4.3,4.2%,4.2%,18.9%,47.4%,25.3%,36,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2604696813.jpg
木兰之巾帼英豪,2020,林毅,刘泳希/符龙飞/菊麟/余凯宁/李明轩,刘泳希/符龙飞/菊麟/余凯宁/李明轩,动作/传记/历史/战争/古装,"北魏年间，木兰替父从军，载誉而归。十年后柔然再犯边疆，木兰毅然重回战场。为救拓跋熬，木兰落入敌手。在狱中木兰识破坤鹏诡计，坤鹏将大汗杀害并嫁祸给木兰，木兰为保护无辜百姓与坤鹏决战，公主指出真凶是坤鹏，混战中坤鹏被杀死，云中之乱平息。本片颂扬和平和民族和谐，表现了作为女性的花木兰不抛弃同胞，不放弃国土，自强不息的优秀品质和家国情怀。
                        ",92分钟,2020-04-17(中国大陆), 中国大陆, 汉语普通话,478,3.7,0.0%,1.8%,23.6%,32.7%,41.8%,193,9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2596086824.jpg
如来神掌,2020,黄羿,冯岸榕,邹兆龙/巫迪文/唐菲/黄一飞,科幻,"龙剑北因为要筹钱救自己病重的妹妹，在一次机缘巧合之下，接触到神秘组织黑羽会，黑羽会不断在做人体实验，企图造出拥有超能力的改造人。为了钱，龙剑北接受超能力改造。由于控制不了体内的超能力，龙剑北拜了一位老者为师，学习驾驭超能力，学会了如来神掌，并结识了一位武林中的名门正派，二人一同上路，展开了各种紧张刺激的冒险……
                        ",,2020-03-10(中国大陆), 中国大陆, 汉语普通话,445,3.6,0.0%,5.0%,13.3%,38.3%,43.3%,170,6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2590124707.jpg
变异狂蟒2,2020,张迪财,朱荣荣/舒杨/文卓,朱荣荣/舒杨/文卓,惊悚/灾难,"酒店开发商奠基当天误挖蛇窝，并惨遭蛇王攻击，事后李老板捐酒店资产做慈善令其子李宗耀不满，欲霸占酒店对父亲下手时得知群蛇攻击酒店，命手下活捉蛇王，目的是利用蛇王的血清做实验研大发横财。万恶终有果，李宗耀等最终未能逃脱蛇王的报复。
                        ",,2020-04-03(中国大陆), 中国大陆, 汉语普通话,,,,,,,,112,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2593439405.jpg
大神猴2伏魔篇,2020,谭俏,谢苗/郑妙/林禹/金雅娜/易正福/袁祥仁/肖跃文,谢苗/郑妙/林禹/金雅娜/易正福/袁祥仁/肖跃文,喜剧/动作/奇幻,"找回法力的孙小天（谢苗饰），与东方陌（林禹饰）、杨九鲤（金雅娜饰）、谛听（易正福饰）三人开始了修行之旅。他们一路西行，途经小满国黑骨山的梨花城，在奇异的哭声指引下，救出了梨花城传说中的“黑风老妖”之女苏落樱（郑妙饰）。孙小天在帮助苏落樱化解其体内怨气的过程中，遇见了小满国的公主火凤凰（焦娜饰），孙小天一行人和火凤凰一起，找到了沉眠的黑风老妖。没想到事情到这里，远远没有结束，梨花城真正的幕后主使另有其人......
                        ",,2020-05-15(中国大陆), 中国大陆, 汉语普通话,,,,,,,,76,4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2602995777.jpg
最强铁血奶爸,2020,姜景中,周英程/姜景中/王文博,刘畊宏/裴佳欣/张立威/周岩/毛希哲/王晓雷/郜玄铭/富梓铭,剧情/动作/家庭,"周勇（刘畊宏饰）曾在某国际安保公司工作。一次行动中周勇把同事们的牺牲归咎于自己，从此消沉。昔日英雄沦为CS俱乐部教练，直到同事遗孤小米（裴佳欣饰）和小豆（王钜文饰）姐弟俩突然出现，周勇被迫担起照顾孩子的责任，却没想到他的生活也因此而彻底改变。面对冲奶、换尿布、讲故事等艰巨挑战，毫无经验的硬汉“奶爸”与活力十足的萌娃会碰撞出怎样的火花？与此同时，一股黑暗势力悄悄潜入他们身边，周勇等人又该如何度过危局？
                        ",,2020-06-21(中国大陆), 中国大陆, 汉语普通话,,,,,,,,64,4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2608258463.jpg
我想静静,2020,吴咏琪,吴咏琪,余少群/王心凌/谭佑铭/杨玉梅/胡夏/周韦彤/王李丹妮/王野/巴多/何沄伟/苑琼丹/李健仁/张达明/邵美琪/黄一山/黄一飞,喜剧,"影片故事讲述了性格偏执的实力派男演员（余少群饰）与人气爆表的偶像女歌手（王心凌饰）共同主演一部新戏，理念不合的两人拍戏过程中一直明争暗斗、势同水火。而在生活中，这两个冤家却因为各自的宠物狗狗都叫“静静”而邂逅结缘。在经历各种出其不意、峰回路转的分分合合，两只狗狗让迷失在聚光灯下的两个人找回了自己，更找到了属于彼此的缘分。
                        ",100分钟,2020(中国大陆), 中国大陆, 汉语普通话,,,,,,,,82,23,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614996957.jpg
疯魔神丐苏乞儿,2020,陈聚力,彭禺厶/夏茉/宁小花/程涛/袁祥仁,彭禺厶/夏茉/宁小花/程涛/袁祥仁,动作,"讲述了主人公武状元苏灿打压贩卖大烟的天门教时意外受伤失忆，流落街头沦为乞丐苏乞儿，在做乞丐的时候被金枝和小果母女收留。因为鸦片烟膏泄露，小果被天门教抓走，苏乞儿为了救照顾自己的小女孩小果，破坏了天门教的阴谋，最终与官府一起铲除天门教的故事。
                        ",,2020-06-18(中国大陆), 中国大陆, 汉语普通话,,,,,,,,58,2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2613030495.jpg
囍门洗笑录,2020,侯国涛/陈骁强,宋恺/苑乔,宋恺/苑乔,喜剧/古装,"影片讲述了出身媒婆世家的孟灵鼠白天是替人说媒的婵娟师，夜晚则化身行侠仗义的侠客“夜猫”。她因在几起离奇诡异的杀人案件中被陷害为凶手而选择主动出击，联手欢喜冤家麒麟师贺兰鸿尘，一面探寻真相，一面在共患难中喜欢上彼此相爱相杀，最终击破反派阴谋的故事
                        ",75分钟,2020-05-28(中国大陆), 中国大陆, 汉语普通话,,,,,,,,59,5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2604211458.jpg
湖边散步,2020,曾汤尼,曾汤尼,张艺韩,剧情/家庭,"中国东北农村，跨性别者林荫在单身母亲的强烈催促下被迫娶妻生子，但因自己无法接受，便偷偷恳求表哥和自己的妻子发生关系，只为保住家族的香火传承。最终，妻子如愿怀孕，林荫一家人兴奋又欢喜，妻子却绝望和失落，两方形成了鲜明的对比。在故事里，每一个人都是被传统思想所束缚的悲剧人物，既可怜也可悲。
                        ",,, 中国大陆, 汉语普通话,,,,,,,,1,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2607565063.jpg
心魔,2020,张建春,张建春,郑希怡/李少亭/许绍雄/贾晓龙,悬疑/惊悚,"许乐（贾晓龙饰）一家在20年前遭遇了一场天灾，父母遇难，许乐也从此丧失了儿时的记忆，而曾经的遭遇却成了伴随许乐成长的噩梦。为了寻回记忆，许乐与令狐（郑希怡饰）来到小时候父母遇难的黄石岛一探究竟。不料当年救自己的陈伯（许绍雄饰）闭口不谈，而唯一愿意告诉真想的王汉明（王汉明 饰）却离奇死亡。当许乐与令狐找到当年另外一位当事人周浩成（李国麟饰）时，周浩成也陷入生命危急......
                        ",85分钟,2020-07-15(中国大陆), 中国大陆, 汉语普通话,,,,,,,,30,1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2612437947.jpg
神农尺,2020,张永生,温海波,温海波,,"故事讲述了上古神魔大战后，神王用炼妖炉、天晶剑、神农尺封印魔神破天，将其囚禁于炼狱枯井，将三神器分别传于墨月族、玄武族、和修仙院分别掌管，并交代三族之长神器不可共同出世，千年后，神王陨落，玄武一族不顾祖训，为了更强大的实力发动战争夺取神器，实力相对弱小的墨月族惨遭屠戮，族长不得不派墨月大将姜成前往神秘禁地聚灵神殿求援，修仙学院作为看守炼狱之井的神秘组织，为阻止神器聚合第一次公开示人，墨月族长担心玄武一族卷土重来，派姜成拜入修仙院，在同袍的捉弄中努力修行姜成得到了突飞猛进的成长，随着修仙院的掌门被害，一个天大的阴谋开始浮出水面，生死存亡之际，姜成带领师兄弟一起对抗魔族奸细，最终阻止了魔神降世。
                        ",,2020-07-02(中国大陆), 中国大陆,,,,,,,,,12,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2613040729.jpg
屏住呼吸 Один вдох,2020,埃琳娜·哈扎诺娃,阿莱娜·阿洛娃/安德烈·伊万诺夫,维克多利亚·伊萨科娃/马克西姆·苏卡诺夫/弗拉基米尔·雅格雷奇/谢尔盖·索斯诺夫斯基/菲利普·埃尔索夫/斯塔西亚·米洛斯拉夫斯卡娅/弗拉迪斯拉夫·维特罗夫,剧情/传记,"离婚后，玛丽娜·戈尔德耶娃投身于极限运动——自由潜水。玛丽娜的才华惊人，但她的弱点使她无法获胜。当她跳入大海深处时，她内心的恐惧随着悲惨的景象再次浮出水面。不知不觉间，在广阔的海洋世界中，玛丽娜不仅恢复了她内心的平静，还重新定义了自己的存在。
                        ",101分钟,2020-03-05(俄罗斯), 俄罗斯, 俄语 / 英语,,,,,,,,14,1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2601513770.jpg
万岁老妈 Jai Mummy Di,2020,Navjot Gulati,Navjot Gulati,桑尼·辛格·尼贾尔/索娜尔·赛贾尔/苏普丽亚·帕塔克/普拉姆·达伦/Danish Husain/Samarth Shandilya/Rajendra Sethi/Jai Singh Verma,喜剧,"这是一部轻松的家庭喜剧，描绘了一对夫妇由于各自母亲之间的关系而不得不经历的磨难
                        ",,2020-01-17(印度), 印度, 印地语,,,,,,,,8,1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2594758218.jpg
La Nuit venue,2019,Frédéric Farrucci,本杰明·查比特/Frédéric Farrucci,卡梅丽雅·乔丹娜/Guang Huo/Xun Liang,剧情,,,2020-07-15(法国), 法国, 法语,,,,,,,,12,1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2585464230.jpg
Tout Simplement Noir,2020,让-帕斯卡尔·扎迪/ 约翰·瓦克斯,让-帕斯卡尔·扎迪,让-帕斯卡尔·扎迪/Fary Brito/乔伊·斯塔尔,喜剧,"JP, un acteur raté de 40 ans, décide d’organiser la première grosse marche de contestation noire en France, mais ses rencontres, souvent burlesques, avec des personnalités influentes de la communauté et le soutien intéressé qu’il reçoit de Fary, le font osciller entre envie d’être sur le devant de la scène et véritable engagement militant...
                        ",,2020-07-08(法国), 法国, 法语,,,,,,,,8,1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2589133324.jpg
被原谅的孩子们 許された子どもたち,2020,内藤瑛亮,上村侑/阿部匠晟/池田朱那/清水凌/津田茜,上村侑/阿部匠晟/池田朱那/清水凌/津田茜,,"本作は山形マット死事件、大津市中2いじめ自殺事件、川崎市中1男子生徒殺害事件、東松山都幾川河川敷少年殺害事件など、いじめによる子供の死亡事件に着想を得たオリジナルの物語。
                        ",,2020-06-01(日本), 日本, 日语,,,,,,,,6,1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2584444243.jpg
被不良少年盯上2 特别篇 일진에게 찍혔을 때2 한스킨 특별편,2020,,,李恩在/姜律,爱情,,9分钟,2020-05-26(韩国), 韩国, 韩语,,,,,,,,3,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2606188584.jpg
心虚吗,2020,王岽鉴,,,,"中国文字博大精深，“虚”字既做枉费也做心怯之意，而本片立意选择了后者，一位虚浮的女生捡到一部手机，由于贪念的驱使，在与失主讨价还价之后招来反噬，拾金不昧是传统美德，希望大家无论何时都能做到不虚此刻。
                        ",,2020-08-04(中国大陆), 中国大陆, 汉语普通话,,,,,,,,10,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2616351317.jpg
敢梦有爱 The Secret: Dare to Dream,2020,安迪·坦纳特,丽贝卡·布鲁斯特/安迪·坦纳特/Rhonda Byrne/Rick Parks,凯蒂·霍尔姆斯/乔什·卢卡斯/杰瑞·奥康奈尔/西利亚·维斯顿/Aidan Pierce Brennan/Katrina Begin/萨曼莎·博利厄/约翰斯·迈尔斯/Rosemberg Salgado/Jessie Terrebonne/瓦妮塔·沃姆斯利/科里·斯科特·艾伦/杰西卡·哈特科克/Betsy Borrego/Sydney Tennant/Chloe Lee/Sarah Hoffmeister,剧情/爱情,"改编自全球畅销励志作品《秘密》。故事描述独自扶养三个孩子的寡妇米兰达（凯蒂荷姆丝 饰）在一场风暴过后，雇用了一名水电工布雷（乔许卢卡斯 饰）修缮受损的住家。 在闲暇之余，布雷会与米兰达分享他的人生哲学“吸引力法则”，布雷相信只要打从心底渴望某件事物，宇宙自然会有力量助你心想事成、梦想成真……
                        ",,2020-04-17(美国), 美国, 英语,,,,,,,,3,1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2587589753.jpg
纪实72小时:井之头公园 被湖水吸引 ドキュメント72時間「東京・井の頭公園 池のほとりに引き寄せられて」,2020,,,【語り】吹石一恵,纪录片,"東京・井の頭公園が舞台。緊急事態宣言の解除から1か月経った6月末。大きな池と豊かな緑に囲まれた公園に、少しずつ人が戻ってきた。久しぶりの再会を喜ぶ友人同士。夢に向かって稽古を続ける漫才コンビ。自粛疲れを癒そうと何時間もベンチに腰掛けるサラリーマン。どんな人がどんな思いを抱えて、公園にやってくるのか。3日間、池のほとりをぐるぐるまわって、出会った人たちの声に耳を傾けた。
                        ",,2020-07-31(日本), 日本, 日语,,,,,,,,5,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2616447611.jpg
米兰达：我的欢乐庆典 Miranda: My Such Fun Celebration,2020,,,米兰达·哈特/莎莉·菲利普斯/萨拉·哈德兰/派翠西亚·霍吉/汤姆·艾利斯/亚当·雷纳 Adam Rayner/艾玛肯尼迪 Emma Kennedy/迈克尔·兰德斯 Michael Landes/娜奥米·本特利 Naomi Bentley/奈杰尔·哈弗斯 Nigel Havers/希瑟·斯摩 Heather Small/马伊姆·拜力克 Mayim Bialik,喜剧,"The cast reunite to look back over a decade of such fun, friendship, romance and everything that made millions of fans connect with this unique and very special sitcom.
                        ",70分钟,2020-01-01(英国), 英国, 英语,667,9.3,74.0%,19.3%,5.7%,0.0%,1.0%,274,2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2579512501.jpg
还会与你相见3次 あと3回、君に会える,2020,萩原健太郎,大岛里美,山本美月/真荣田乡敦/西野入流佳/工藤阿须加/古川琴音/真岛秀和/水間ロン/塚本高史/光石研/吉行和子/酒井若菜,剧情/爱情,"由山本美月主演，眞栄田郷敦出演的SP电视剧『U-NEXT presents あと3回、君に会える』（还会与你相见3次）将于3月31日晚21:30 - 23:24在关西电视台・富士电视台播出。
                                    ",114分钟,2020-03-31(日本), 日本, 日语,712,7.6,18.0%,49.1%,29.0%,3.5%,0.3%,294,6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2591636235.jpg
艺术死了,2020,周圣崴,彭锋/周圣崴,刘刚/杨卫/郑林/周圣崴,剧情/悬疑,"《女他》之后“我”陷入创作瓶颈，在采访身边艺术家朋友如何突破瓶颈期之际，偶然在一间艺术家工作室里撞见一具姿势诡异的艺术家尸体，在好奇心和创作欲的驱使下，“我”开始拿着摄影机调查这个死去的艺术家，随之而来的事情也变得越来越奇怪和……不可控……
                        ",84分钟,2020-07-29(FIRST青年影展), 中国大陆, 汉语普通话,381,7.5,25.0%,37.5%,27.5%,6.7%,3.3%,183,3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2611820311.jpg
温德米尔儿童 The Windermere Children,2020,迈克尔·塞缪尔斯,Simon Block,托马斯·克莱舒曼/萝玛拉·嘉瑞/伊恩·格雷/蒂姆·麦克纳尼/马塞尔·萨巴特/菲利普·克里斯托弗/安娜·舒马赫,剧情/战争,"第二次世界大战后在英国被安置和重建的大屠杀儿童的悲惨故事，并最终使人得以肯定。它始于新大陆的不确定性和恐惧，但最终导致了所有人都珍惜的希望和善意以及终生的友谊和幸福。
                        ",88分钟,2020-01-27(英国), 英国, 英语,805,7.3,16.6%,38.5%,40.3%,3.1%,1.6%,247,6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2582275464.jpg
谎言的岛屿 La isla de las mentiras,2020,宝拉·康斯,宝拉·康斯/Luis Marías,内瑞雅·巴德洛斯/达里奥·格兰迪内蒂/埃托尔·卢纳/米洛·塔波阿达/Victoria Teijeiro/Ana Oca,剧情,"1921年，载着260名西班牙移民的蒸汽船向着美国缓缓起航。然而，不久后它就在西班牙加利西亚海岸的小岛附近沉没。唯有三名居住在该岛上的女人们发现了船上的情况，救出了其中的五十名乘客，由此被歌颂为英雄。当一名来自阿根廷的记者前来报道这起事件时，他开始怀疑这起意外是人为所致。谣言像野火般散播至整个岛屿。随着记者的调查逐渐深入，真相慢慢浮出水面。被称为英雄的三位女人们不得不面对质疑，而她们身上的嫌疑也随之增加……
                        ",94分钟,2020-05-14(阿根廷)/2020-07-24(西班牙), 西班牙 / 阿根廷 / 葡萄牙, 西班牙语,83,7.1,9.3%,44.0%,40.0%,5.3%,1.3%,43,1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614449642.jpg
刑事zero 特别篇2020 刑事ゼロ スペシャル2020,2020,及川拓郎,户田山雅司,泽村一树/泷本美织/高冈早纪/武田铁矢/寺岛进/渡边一计/猫背椿/横山大介/财前直见/近藤公园,剧情/悬疑/犯罪,"《刑事Zero 特别篇2020》中，时矢和佐相面对的是，被认为是以“幕末四大刽子手”为主题的令人毛骨悚然的连续杀人事件，首先麻烦的是从遗体口中发现时矢的亲笔书写的笔记，时矢面对审问委员会施加压力，陷入惩戒免职的危机之外，终于时矢和佐相拼命隐藏的“时矢记忆丧失”这一最大的“秘密”也可能被１３系的人发现。
                                    ",120分钟,2020-06-07(日本), 日本, 日语,82,6.8,12.5%,29.7%,45.3%,9.4%,3.1%,28,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614047378.jpg
忘却的幸子 新春SP 忘却のサチコ 新春スペシャル,2020,山岸圣太,大岛里美,高畑充希/早乙女太一/吹越满/ふせ えり/逢泽莉娜/重冈漠/上地春奈/村上淳/叶山奖之/池田铁洋/布施绘里,,"高畑充希《忘却的幸子》新春SP预告片，因为被悔婚而大吃特吃的女子，今次来到神户，在神户港塔等景点奔走，去有马温泉享受，还重遇让她人生大变的前男友，然而关键还是吃吃吃，神户牛、炸串、汉堡排等平民B级美食，会否比五郎吃的正餐更吸引？
                        ",56分钟,2020-01-02(日本), 日本, 日语,494,6.7,7.7%,27.3%,56.9%,6.4%,1.8%,164,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2577985504.jpg
地产老千起落记 Betonrausch,2020,库尼特·卡亚,库尼特·卡亚/约翰尼斯·昆克尔,大卫·克劳斯/弗雷德里克·劳/艾米丽·高斯/亚妮娜·乌泽/苏珊·安吉洛/汉勒斯·魏格纳/恩里克·洛维索/索菲亚·汤玛拉/吉娅·贝/尤韦·普罗伊斯/大卫·哈克/安妮·薛弗/德扬·布钦/约翰娜·英格芬格/皮尔·基维特/罗伯特·舒普/西尔维纳·布克包尔/莎里娜·拉多姆斯基/格瑞迪·京特/马丁·阿姆克尼赫特/卡斯珀·艾歇尔/亚历山大·雅辛,剧情/喜剧,"《地产老千起落记》讲述了两个房地产骗子的崛起和没落。维克多·施泰纳（大卫·克劳斯饰）、盖瑞·福克兰（弗雷德里克·劳饰）和银行家尼可尔·克勒博（亚妮娜·乌泽饰）在短时间内暴富。但很快，他们就陷入了一个满是谎言、欺诈和欺骗的漩涡之中，而且越陷越深，直到某一刻，他们完全忘记了现实，不得不决定他们真正看重的是什么。
                        ",94分钟,2020-04-17(德国), 德国, 德语 / 英语,727,6.5,8.1%,24.8%,55.3%,10.0%,1.8%,214,2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2596302763.jpg
螺丝在拧紧 Turn of the Screw,2020,亚历克斯·加尔文,亚历克斯·加尔文 Alex Galvin/亨利·詹姆斯,本·弗兰舍姆/莎拉·慕恩/Ralph Johnson/Ella Olssen,剧情/恐怖,"影片改编自亨利·詹姆斯的同名哥特恐怖小说《螺丝在拧紧》。故事发生在剧院里的一夜，朱丽娅在彩排开始前的最后一刻，被选中取代另一个女演员，出演舞台剧《螺丝在拧紧》，它是一个设定在1890年的故事。朱丽娅在那天夜里的晚些时候到了剧院，很快她就被推上舞台，被要求进入角色，并开始对着一个空旷的观众席表演。随着朱莉娅与其它角色的互动，故事逐渐变得越来越恐怖，她开始怀疑不仅仅是这个剧本中虚构的房子闹鬼，这个剧院也在闹鬼！
                        ",89分钟,2020-07-25(上海电影节), 新西兰, 英语,96,5.9,3.8%,20.3%,46.8%,24.1%,5.1%,53,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614518125.jpg
连环杀手夫人 Mrs. Serial Killer,2020,Shirish Kunder,杰奎琳·费南德斯/马诺杰·巴杰帕伊/莫希特·雷纳/Zayn Khan,杰奎琳·费南德斯/马诺杰·巴杰帕伊/莫希特·雷纳/Zayn Khan,惊悚/犯罪,"一名医生因一连串令人震惊的凶恶案而入监服刑，他忠心的妻子打算模仿同样的杀人手法作案，借以证明他的清白。
                        ",107分钟,2020-05-01(印度), 印度, 印地语,510,5.7,5.8%,13.5%,48.4%,23.3%,9.1%,190,4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2604985781.jpg
