'title', 'year', 'director', 'screenwriter', 'actors','type','summary', 'runtime', 'pubtime', 'country', 'language', 'scoreNum', 'score', 'star5', 'star4', 'star3', 'star2', 'star1', 'smallCommentNum', 'longCommentNum', 'posterurl'
叹别离,2020,马克,马畅/张会中,马畅/张会中,,"明末清初，乱世纷争。天启帝的太子朱慈燃从襁褓中便流落民间。天启7年，天启帝暴毙。同年，其弟信王朱由检继位，改年号崇祯，自崇祯元年起明王朝烽烟四起，闯王李自成，后金努尔哈赤纷纷起兵与明王朝分庭抗礼，崇祯帝一败涂地。流离失所的皇长子朱慈燃成为各政派系争夺的对象.为保太子平安，明朝忠臣冷延泉在民间寻回太子，并将其安排在灵岩寺假意出家为僧，不曾想风声走漏，已归顺清王朝的杭州织造局掌印大太监刘明喜带着大批锦衣卫杀上了灵岩寺，此后汉阳城左家军，大顺李自成亦是蠢蠢欲动
                        ",70分钟,2020-05-16(中国大陆), 中国大陆, 汉语普通话,,,,,,,,1,0,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png
黑脑,2020,张云飞,,,,"除了一个来无影、去无踪的怪老头——忠叔，佟乐影的男友莫飞似乎对九威并不讨厌，甚至非常感兴趣。反派组织况巴团伙儿，千方百计要得到佟博士的科研成果，围绕着佟乐影带来的科研技术，几方势力展开了明暗博弈……人类脑中的思维、意识，如果可供仪器分析量化，甚至删挪改动，是否会打开潘多拉的魔盒？潦倒的破烂王——九威，一直以来，默默地做着美女博士佟乐影的“隐形守护者”，两个人的社会地位、品味修养、都完全不一样，九威的这份“深情厚谊”没有人可以理解。
                        ",88分钟,2020-05-12(中国大陆), 中国大陆, 汉语普通话,,,,,,,,3,0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2613316751.jpg
迪士尼家庭合唱会2 The Disney Family Singalong Volume 2,2020,哈密什·汉密尔顿,Mason Steinberg/Brian Strickland,克里斯蒂娜·阿奎莱拉/Lindsay Arnold/Alan Bersten/塞布丽娜·卡彭特/Witney Carson/Chloe x Halle/Val Chmerkovskiy/Karelina Clarke/Merle Dandridge/Remi Davis/比利·艾希纳/Sasha Farber/乔什·加德/唐纳德·格洛弗/哈尔希/希瑟·海德利/戴瑞克·浩夫/朱莉安·浩夫/詹妮弗·哈德森/郎朗/约翰·传奇/伊迪娜·门泽尔/柯柯·帕尔莫/凯蒂·派瑞/本·普拉特/塞斯·罗根/阿尼卡·诺尼·罗斯/瑞安·西克莱斯特/夏奇拉/蕾蓓尔·威尔森,歌舞,"Ryan Seacrest hosts the second Disney Family Singalong featuring celebrities and their families as they take on their favorite Disney tunes from their homes. Special guests include John Legend, Christina Aguilera, Shakira, and Katy Perry.
                        ",,2020-05-10(美国), 美国, 英语,,,,,,,,2,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2602531799.jpg
吸血僵尸 Subferatu,2020,Patrick Penta,Patrick Penta,克里斯·班德/Jonathan Dichter/Mike Dooly/John Gardner/Patrick Penta,喜剧/恐怖,"In this satire, a group of modern-day Americans are captured by a WW2-era Uboat, with a sinister cargo, bound for NYC.
                        ",88分钟,2020-05-04(美国), 美国, 英语,,,,,,,,1,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2603479168.jpg
越过那座山 저 산 너머,2019,崔宗泰,崔宗泰/丁埰琫(原作),李庆勋/李杭娜/安内相/姜信日/宋昌义/李烈音,剧情/传记,,112分钟,2020-04-30(韩国), 韩国, 韩语,,,,,,,,0,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2601940239.jpg
驭影师,2020,李少坤,马禧克,马禧克,剧情,"赵都中医院在一次洪水救助中发现受灾群众陈银生是磁州陈家村陈加班皮影戏戏班班主，常年以驾驭皮影为生，其儿子陈大朋在一次皮影演出途中遭遇车祸导致瘫痪。怀揣着对国家级非物质文化遗产的敬畏，院长了解情况后决定克服一切困难救治陈大朋，希望下一代皮影师能传承“驾驭皮影”这门手艺。
                        ",70分钟,2020-04-24(中国大陆), 中国大陆, 汉语普通话,,,,,,,,2,0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2596129351.jpg
暴裂风雷道,2020,张文,张文/张晓晨/周阶/陈彤民/项毅/李艺轩/马丽,张文/张晓晨/周阶/陈彤民/项毅/李艺轩/马丽,剧情,"农村小伙秦风来到南都市打工，想让师傅过上好日子，不料，却在南都发现自己的亲哥哥是东皇集团的少主。在集团领袖曹世清失踪之后，东皇集团内部动荡。曹雷在集团中受到来自二叔曹世杰的压力，曹世杰为打压曹雷，将秦风也卷入了纷争之中……
                        ",100分钟,2020-04-23(中国大陆), 中国大陆,,,,,,,,,1,1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597592323.jpg
冬年,2020,白易,冉波,冉波,,"张冬年由于小时候得了一场病智力相当于一个五岁的娃，由于父母的早逝冬年从小跟着哥哥张冬凡一起长大。哥俩每天在寨子里就过着上山、砍柴、煮饭的生活。同龄人大年从城里回来，他的见识给张冬凡留下了深深的印象。同时张冬凡心里也萌生了去城里的想法，迫于冬年需要人照顾，这个想法也成为了哥哥冬凡心里无法实现的愿望。有一天寨子里从城里来了一位漂亮的姑娘林小月。林小月的到来对于老老实实一直生活在寨子里的冬凡来说，一切都变得美好了起来，同时心底也多了一个美好而又不敢说的愿望……
                        ",76分钟,2020-04-20(中国大陆), 中国大陆, 汉语普通话,,,,,,,,2,0,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png
暴烈妈妈,2020,张文,张文/邓莞千/陆思辰/黄玮/葛虹月/刘真,张文/邓莞千/陆思辰/黄玮/葛虹月/刘真,剧情,"拳击队员徐招娣为了养女乐乐，毅然退出市队成为了一名出租车司机。乐乐渐渐步入青春期，与不善表达的徐招娣产生了隔阂。一天，徐招娣路遇被人围殴的记者王海，她果断出手搭救。随后却被卷入了王海正在调查的案件之中，而徐招娣的身体似乎也出现了不可控制的问题……
                        ",78分钟,2020-04-17(中国大陆), 中国大陆, 汉语普通话,,,,,,,,2,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2613268638.jpg
星尘 Stardust,2020,Gabriel Range,Christopher Bell/Gabriel Range,强尼·弗林/吉娜·马隆/马克·马龙/亚伦·普尔/安东尼·弗拉纳根/Richard Clarkin/Lara Heller/Roanna Cochrane/Jorja Cadence/Allie Dunbar/Ryan Blakely/Annie Briggs/Jeremy Legat/Myles Dobson/Brendan J. Rowland,剧情/传记,"大卫·鲍伊的传记片真的来了。一部名为《星尘》(Stardust)的影片已在运作中，聚焦1971年，年轻的鲍伊第一次去往美国，激励了他创作出举世闻名的专辑和音乐形象“Ziggy Stardust”。定由歌手兼演员约翰尼·弗林(《野兽》)饰演鲍伊。
                                    ",,2020-04-15(英国), 英国, 英语,,,,,,,,2,1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2566371331.jpg
